Área,Carrera,Año,Cantidad,Porcentaje (%)
Ciencias Económicas,Administracion de Empresas,3 año,5,5.15
Ciencias Económicas,Contaduria Publica y Finanzas,5 año,11,11.34
Ciencias Humanidades y Educación,Informatica Educativa,3 año,7,7.22
Ciencias Humanidades y Educación,Psicologia,4 año,5,5.15
Ciencias Humanidades y Educación,Psicologia,5 año,5,5.15
Otra,Fisica y Matematicas,4 año,1,1.03
Otra,Fisica y Matematicas,5 año,1,1.03
Otra,Mercadotecnia,3 año,1,1.03
Otra Ingeniería,Ingenieria Industrial,3 año,1,1.03
Otra Ingeniería,Ingenieria Industrial,4 año,30,30.93
Otra Ingeniería,Ingenieria Industrial,5 año,1,1.03
Otra Ingeniería,Ingenieria en Telematica,4 año,4,4.12
Sistemas de Información,Ingenieria en Sistemas de Informacion,4 año,16,16.49
Sistemas de Información,Ingenieria en Sistemas de Informacion,5 año,9,9.28
